,filename,Total Energy Consumption in Production,Energy Consumption per Vehicle Production,Total Water Usage,Total Wastewater Volume Generated,Water Recycling and Reuse Rate,Total GHG Emissions,GHG Emissions and Intensity per Vehicle,Total Manufacturing Waste Generation,Waste Recycling and Diversion Rate,Battery Recycling Rate,Employee Turnover Rate,Number of Workplace Accidents,Employee Injury Rate,Average Training Hours/Employee,Training Investment/Employee,Workforce Gender Ratios,Workforce Minority Ratios,Number of Corruption Incidents,Anti-corruption Compliance Rate,Number of Anti-competitive Practices,Monetary Value of Fines Imposed,Political Contributions and Lobbying Expenditures,Number of Marketing Compliance and Ethical Advertising Violation Incidents,Sales-weighted Average Fuel Economy/Emissions,Zero Emission and Alternative Fuel Vehicle Sales,Narrative on Sustainability Goals and Actions,Progress Updates on Emission Reduction Targets,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Narrative on Workforce Diversity Employee Well-being and Safety,Disclosure on Community Engagement and Social Impact Initiatives,Narrative on Governance Framework and Board Diversity,Disclosure on ESG Risk Management and Stakeholder Engagement,Narrative on Innovations in Sustainable Technologies and Product Design,Disclosure on Sustainable Supply Chain Management Practices,e_score,s_score,g_score,esg_score,Industry,Company,Year
0,../data/processed/Auto Parts-SAF-Holland-2023 Sustainability Report.txt,0.987661634043914,-0.2,0.9972360116575285,-0.2,-0.2,0.9999994654358533,-0.2,0.9964173383565911,0.44897959183673464,-0.2,-0.2,0.8609047940580689,0.7430167597765365,-0.2,-0.2,0.20415725323583908,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,1.0,1.0,-0.2,-0.2,52.52,46.23,67.2,56.21,Auto Parts,SAF-Holland,2023
1,../data/processed/Auto Parts-Standard Motor Products Inc-2023 Corporate Sustainability Report.txt,0.9892420190618327,-0.2,-0.2,0.9999999999999999,-0.2,0.999999473288052,-0.2,0.998046784266452,0.6530612244897959,-0.2,0.8556701030927838,-0.2,-0.2,-0.2,-0.2,-0.2,-0.7625000000000003,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,-0.2,56.97,80.93,59.87,64.88,Auto Parts,Standard Motor Products Inc,2023
2,../data/processed/Auto Parts-Adient Plc-2023 Sustainability Report.txt,0.8995928269066917,-0.2,0.9604364619719667,-0.2,-0.2,0.9999111163912096,-0.2,0.9759011932460216,0.5918367346938777,-0.2,-0.2,-0.2,-0.013035381750465437,-0.2,-0.2,0.9206361803780893,1.0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,48.68,37.72,54.29,47.78,Auto Parts,Adient Plc,2023
3,../data/processed/Auto Parts-QuantumScape Corporation-2023 Sustainability Report.txt,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.9216745442268738,0.6759776536312849,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,-0.2,1.0,0.0,-0.2,-0.2,1.0,52.37,48.0,48.19,50.35,Auto Parts,QuantumScape Corporation,2023
4,../data/processed/Auto Parts-Heineken N.V-2023 Responsibility Report.txt,-0.2,-0.2,-0.2,-0.2,-0.2,0.9999997740479308,-0.2,-0.2,0.9795918367346939,-0.2,0.1996563573883161,-0.44767049291019584,0.6014897579143391,-0.2,-0.2,0.337655036241831,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,52.1,69.86,54.29,57.65,Auto Parts,Heineken N.V,2023
5,../data/processed/Auto Parts-Lear Corporation-2023 Sustainability Report.txt,0.85823117826834,-0.2,0.8514320441213721,-0.2,-0.2,0.9998541834627287,-0.2,0.9651195256573395,0.3877551020408162,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.48168567185196587,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,1.0,-0.2,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,59.37,51.06,54.29,56.91,Auto Parts,Lear Corporation,2023
6,../data/processed/Auto Manufacturers - Major-Mercedes-Benz Group AG-2023 Sustainability Report.txt,0.43666875535188043,-0.2,0.9437695332997207,0.29381969427248844,-0.2,0.9999960296265529,0.4997834247762057,1.0000000000000002,-0.2,-1.0,0.8041237113402063,-0.26401080351114115,-0.3854748603351954,-0.6395356378494067,-0.2,0.2427711807827463,-0.2,0.9295774647887324,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,1.0,-0.2,-0.2,-0.2,1.0,1.0,1.0,1.0,87.87,83.57,72.66,86.5,Auto Manufacturers - Major,Mercedes-Benz Group AG,2023
7,../data/processed/Auto Parts-Autoneum-2023 Corporate Responsibility Report.txt,0.9969718493405819,-0.2,0.9716142978884094,-0.2,-0.2,0.9999772783100733,-0.2,0.9774770875135076,-0.2,-0.2,0.5017182130584193,0.6785955435516543,-0.2,-0.348985018483689,-0.2,-0.15945641466400434,-0.2,-0.2,0.8203703703703704,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,0.0,-0.2,-0.2,-0.2,53.98,67.33,50.76,56.89,Auto Parts,Autoneum,2023
8,../data/processed/Auto Parts-Schaeffler Technologies-2023 Sustainability Report.txt,0.643866348806918,-0.2,0.999854042231188,-0.2,-0.2,0.9999998954765771,-0.2,0.8617885094259881,0.8775510204081631,-0.2,0.8728522336769762,-0.2,0.04283054003724403,-0.847071794539205,-0.2,-0.13264908003615822,-0.2,-0.2,0.8629629629629628,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,-0.2,1.0,1.0,83.66,98.47,49.65,80.41,Auto Parts,Schaeffler Technologies,2023
9,../data/processed/Auto Parts-Continental AG-2023 Sustainability Report.txt,1.0,-0.2,0.5531990195993095,-0.2,-0.2,0.9984705924063028,-0.2,0.9155717673849116,0.7346938775510204,-0.2,0.8213058419243988,-0.2,-0.2,-0.2,-0.2,0.495118733173156,-0.2,-0.2,-0.2,-0.2,-1.0,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,1.0,-0.2,-0.2,1.0,1.0,1.0,1.0,79.66,69.57,69.69,77.58,Auto Parts,Continental AG,2023
