,filename,Total Energy Consumption in Production,Energy Consumption per Vehicle Production,Total Water Usage,Total Wastewater Volume Generated,Water Recycling and Reuse Rate,Total GHG Emissions,GHG Emissions and Intensity per Vehicle,Total Manufacturing Waste Generation,Waste Recycling and Diversion Rate,Battery Recycling Rate,Employee Count,Employee Turnover Rate,Number of Workplace Accidents,Employee Injury Rate,Average Training Hours/Employee,Training Investment/Employee,Workforce Gender Ratios,Workforce Minority Ratios,Number of Corruption Incidents,Anti-corruption Compliance Rate,Number of Anti-competitive Practices,Monetary Value of Fines Imposed,Political Contributions and Lobbying Expenditures,Number of Marketing Compliance and Ethical Advertising Violation Incidents,Sales-weighted Average Fuel Economy/Emissions,Zero Emission and Alternative Fuel Vehicle Sales,Narrative on Sustainability Goals and Actions,Progress Updates on Emission Reduction Targets,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Narrative on Workforce Diversity Employee Well-being and Safety,Disclosure on Community Engagement and Social Impact Initiatives,Narrative on Governance Framework and Board Diversity,Disclosure on ESG Risk Management and Stakeholder Engagement,Narrative on Innovations in Sustainable Technologies and Product Design,Disclosure on Sustainable Supply Chain Management Practices,size
0,../data/processed/Auto Parts-SAF-Holland-2023 Sustainability Report.txt,108460.0,,94099.0,,,36218.0,,19538.0,0.73,,5927.0,,104.0,0.82,,,0.215,,,,,,,,,,,,,"SAF-HOLLAND employees are entitled to a safe, inclusive and respectful work environment. SAF-HOLLAND also sees it as the company’s duty to establish a healthy work culture and ensure that all employees feel comfortable at their workplaces. Offers for more movement and ergonomics included personal workplace analyses and ergonomics advice specifically for SAF-HOLLAND’s production employees with a focus on movement sequences and posture, in which potential for improvement could be identified and processes and behavioral patterns could be optimized. Following the analyses, exercise breaks took place each week in each department. There were also exercise breaks for administrative employees twice a week, and they also could receive individual ergonomics advice at their personal workplace.","In the reporting year, of the many projects and initiatives that were supported included the ""Cent Donation"" for nearby the children's hospital, employee and company donations to the local community club, fire department, children’s hospital, and Christmas presents and donations to the municipal children's home (EMEA region). In the Americas region the company and its employees donated money and worked with charity organizations to provide support and food to the local community and people in need. They also participated in cleaning projects in the area, purchased food kits and donated school supplies to local schools to benefit children in need. In the APAC region during the reporting year, SAF-HOLLAND paid donations to provide meals for children in need in Australia and funded several projects in India which contributed to the local community’s good health and wellbeing (UN SDG No 3.) and quality education (UN SDG No 4.) by providing tools, equipment and infrastructure development to several local schools and hospitals.","The Council is in charge of designing appropriate governance structures for ESG, including policies, roles, responsibilities, and principles. Corporate ESG reports status updates to the ESG Council, Management Board and Supervisory Board during their respective regular meetings. Next to this, the global heads of HR, Compliance & Legal and Operational Excellence report to the CFO and the ESG Lead on the progress of various ESG projects.","The Management Board of SAF-HOLLAND SE, the Audit Committee and the full Supervisory Board are involved regularly in the further development of topics of relevance to compliance. The Legal and Compliance department reports to the CFO at regular meetings. Relevant topics are addressed at least twice a year during regular Audit Committee meetings. The effectiveness of the measures and progress are reported on in this context. Stakeholders are directly involved in the decisions. By participating in ESG ratings, the requirements of investors and banks in this area are also sufficiently taken into account.",,,Large
1,../data/processed/Auto Parts-Standard Motor Products Inc-2023 Corporate Sustainability Report.txt,94593.33333333333,,,9.463525,,35686.0,,10927.0,0.83,,,0.05,,,,,,0.04,,,,,,,,,,,,"We prioritize diversity, equity, inclusion and belonging to create a supportive work environment where people feel welcome. We embed diversity, equity, inclusion and belonging (“DEIB”) into our policies and practices because we are committed to building an equitable and inclusive environment to ensure equitable pay and access to opportunities for all. A single person or a singular mindset cannot sustain a global operation such as SMP. We achieve our DEIB goals by supporting a workforce where each employee feels valued, empowered, and fully engaged in their work.",,,Risk management strategies now encompass due diligence for Uyghur forced labor and updated materiality matrices that include EV transition risks.,,,Medium
2,../data/processed/Auto Parts-Adient Plc-2023 Sustainability Report.txt,881196.25,,1346000.0,,,6022018.0,,127958.0,0.8,,70000.0,,,,,,0.41,0.49,,,,,,,,,,,"52 of our 200+ sites are using electricity from renewable sources, representing 26% of our total electricity consumption. Additionally, our energy managers use the platform to view trends, monitor our impact, and make decisions with sustainability in mind. We are targeting a $75\%$ reduction in our absolute scope 1 and 2 $\mathsf{C O}_{2}\mathsf{e}$ emissions at our sites by 2030 and aim to be reliant on $100\%$ renewable electricity at our manufacturing sites globally by 2035.",,,"The Board’s risk management oversight includes responsibility for the full range of risks and opportunities related to the impact of environmental, social and governance matters on Adient’s business and strategy. Adient’s ESG Steering Committee — which is comprised of the President and Chief Executive Officer, Chief Financial Officer, Executive Vice President and Chief Legal and Human Resources Officer; Executive Vice President Americas; Executive Vice President EMEA; Executive Vice President APAC; Senior Vice President and Chief Information Officer; Vice President of Global Sustainability; Vice President of Investor Relations; Executive Director and Associate General Counsel, Compliance; and the Executive Director of Sustainability — meets quarterly to review key sustainability initiatives, activities and disclosures, and the Vice President of Global Sustainability reports at least quarterly to the Board on its strategic short-term and longer-term initiatives and objectives in these areas.",,,,Large
3,../data/processed/Auto Parts-QuantumScape Corporation-2023 Sustainability Report.txt,,,,,,,,,,,850.0,,9.0,,,,,,,,,,,,,,,"In 2023, we recycled more than 30,000 pounds (about 13,608 kg) of battery components. In 2023, we started measuring our Scope 1 and Scope 2 greenhouse gas emissions (GHG), which are primarily due to carbon dioxide emissions from utilities and development activities. These emissions are significantly lower than any reporting requirements set by the U.S. Environmental Protection Agency (EPA) and the California Air Resource Board (CARB).",,"In 2023, we had nine OSHA recordable incidents which included cuts, slip and fall, and repetitive motion injuries. Our OSHA Recordable Incident Rate (TRIR) of 1.0 in 2023 was well below the 2022 battery manufacturing industry average TRIR of 2.6 and 2022 motor vehicle manufacturing industry average TRIR of 5.91. Our Lost Time Incident Rate (LTIR) in 2023 was 0.43 compared to 1.5 for motor vehicle manufacturing industry. We continue to build the culture of environmental protection, employee health and safety, and sustainability.","In 2022, we entered an agreement with a commercial battery recycler to recycle certain battery components. Recycling of our scrap materials has allowed us to divert substantial amounts of battery component and consumable materials away from waste streams. In 2023, we recycled more than 30,000 pounds (about 13,608 kg) of battery components.","One of the key functions of our board of directors is informed oversight of our risk management process, including risks from cybersecurity threats. Our board of directors is responsible for monitoring and assessing strategic risk exposure, and our executive officers are responsible for the day-to-day management of the material risks we face. Our board of directors administers its cybersecurity risk oversight function directly, as well as through the audit committee, which has been tasked with such oversight in the audit committee charter. The audit committee of our board of directors reviews cybersecurity and information security risks and mitigation strategies; the audit committee receives periodic updates on information security and privacy, and the full board receives at least an annual update.",,,"In 2022, we formalized our supplier code of conduct, which is published on our website at www.quantumscape.com/supplier-code-of-conduct. As we begin to solidify the types and amounts of materials we will need, and choose longer-term supply chain partners, we will analyze and target areas of risk and opportunity in our supply chain that we can influence, prioritizing partners who have high standards for environmental sustainability or who are willing to improve their practices.",Medium
4,../data/processed/Auto Parts-Heineken N.V-2023 Responsibility Report.txt,,,,,,15309.0,,,0.99,,,0.2409,1073.0,1.0,,,0.24,,,,,,,,,,,"In 2023, our total scope 3 emissions were 14.1 million tonnes of CO2 -eq (2018: 17.6 million). This accounts for $92\%$ of our total carbon footprint and is a decrease of $20\%$ versus 2018 and $12\%$ versus 2022. This decrease is mainly driven by a decline in purchased packaging materials due to lower product volumes sold and changes in methodology. Furthermore, our active engagement with our strategic suppliers has supported their transition towards renewable energy, directly impacting our scope 3 emissions.",,,,"The Supervisory Board has a diverse composition in terms of experience, gender, nationality and age. Four out of nine members are women and six out of nine members are non-Dutch. There are six nationalities (American, British, Dutch, German, Indian and Spanish) and the age of the members ranges between 54 and 79. The Supervisory Board is of the opinion that a diversity of experience and skills is represented on its board. The elements of a diverse composition of the Supervisory Board are laid down in the Diversity Policy of the Supervisory Board, Executive Board and Executive Team (available on our company website) as per best practice provision 2.1.5 of the Code. Currently, 44% (i.e. four out of nine) of the Supervisory Board members are female.",,,,Large
5,../data/processed/Auto Parts-Lear Corporation-2023 Sustainability Report.txt,1244113.0,,5054272.0,,,9879322.0,,184935.0,0.7,,186600.0,,,,,,0.27,,,,,,,,,,"By 2050, we aspire to eliminate emissions and achieve net zero. For the first time, in addition to reporting Scope 1 and 2 emissions, we are reporting our Scope 3 emissions – which include indirect emissions from categories such as purchased goods, transportation, and business travel as well as end-of-life activities.","Since 2019, Lear has reduced its Scope 1 and 2 emissions by 18%. In 2023, we are also reporting our Scope 3 emissions. We are making progress toward our climate goals through our sustainable products, operations, and supply chain. Verified our Scope 1 and 2 emissions with a third party. Verified and published Scope 3 emissions with a third party.",,,,"Elected by our shareholders and led by an independent, nonexecutive chairperson, Lear’s Board of Directors provides guidance, helps develop and implement our strategic plan, manages risk and builds long-term shareholder value. All directors are independent, except our president and CEO. The duties of our directors are stated in our Corporate Governance Guidelines. To promote the interests of our shareholders, Lear maintains certain governance policies and practices, including: Annual election of directors Major majority voting standard with a director resignation policy for uncontested director elections Robust stock ownership guidelines for directors and executive officers Annual board and board committee self-evaluations",,,,Large
6,../data/processed/Auto Manufacturers - Major-Mercedes-Benz Group AG-2023 Sustainability Report.txt,4943000.0,,1913000.0,4938325.0,,269000.0,0.279,605.0,,0.72,166051.0,0.065,937.0,,16.0,,0.222,,6.0,,,,,,,401943.0,,"The Mercedes-Benz Group has set itself the target of covering more than $70\%$ (cars) or $80\%$ (vans) of its energy requirements in production with renewable energies by 2030. The target set and confirmed by the SBTi to reduce the $\mathrm{CO}_{2}$ emissions in Mercedes-Benz’s own production plants (Scope $1^{8}$ and $2^{9}.$ ) by $50\%$ by 2030 in comparison to $2018^{10}$ figures was already achieved back in 2022, and is also being pursued beyond the production locations for the central functions under consideration. All production plants operated by the Mercedes-Benz Group have been net carbon-neutral in terms of Scope 1 and Scope 2 since $2022^{1}$ . Since 2022, all $\mathrm{CO}_{2}$ emissions (Scope 1 and Scope 2) from these plants that have so far proved unavoidable have been compensated by carbon offsets from qualified climate protection projects.",,,,"The Supervisory Board of Mercedes-Benz Group AG monitors the implementation of the sustainable business strategy. It is therefore important that it and its committees are appropriately informed about the relevant sustainability issues in the areas of environment, social affairs and governance. To ensure this, ESG topics are regularly addressed in the Supervisory Board meetings. ESG experts from different departments are consulted for this purpose. ESG-related topics were also discussed during the strategy meeting of the Supervisory Board. In addition, the members of the management and supervisory bodies regularly discuss the progress made in implementing the sustainable business strategy with the Advisory Board for Integrity and Sustainability. On the part of the Supervisory Board, Dame Polly Courtice, among others, contributes her extensive expertise in the field of sustainability in various areas.","The Mercedes-Benz Group attaches great importance to engaging in dialogue with its interest groups. This dialogue enables the organisation to look at its sustainability commitment from different angles, to identify and pick up on new trends and to exchange experiences. The prerequisite for this is that the MercedesBenz Group knows its stakeholders. Stakeholders are individuals and organisations that have legal, financial, ethical or ecological claims on or expectations of a company.","Innovative approaches such as solid-state battery R&D progress and sustainable interior materials like mycelium foam have not been explicitly mentioned in the provided text. However, the text discusses efforts towards sustainable technologies and product design, including electrification, climate protection measures, and the circular economy. For example, the company is working on making the new vehicle fleet net carbon-neutral by 2039 and applying market-specific internal CO₂ transfer prices in product development to evaluate measures to reduce CO₂ emissions and increase energy efficiency.","The Group has defined the guidelines for sustainable supply chain management in the “Responsible Sourcing Standards” (RSS). They define minimum requirements and expectations for direct suppliers (Tier 1) and contractually oblige them to comply with the requirements, to communicate them to their employees and upstream stages of the value chain, and to monitor compliance with them in their business processes and sphere of influence. The RSS form the basis for the responsible procurement of materials and services and allow sustainable progress in close collaboration with partners. The aim is to prevent, minimise or, as far as possible, eliminate negative impacts on people and the environment worldwide. The RSS are an integral part of all new orders from Tier 1 suppliers, and the central contractual document for minimum and sustainability requirements for suppliers. They are applied worldwide.",Large
7,../data/processed/Auto Parts-Autoneum-2023 Corporate Responsibility Report.txt,26770.0,,965736.0,,,1539434.0,,119630.0,,,16500.0,0.153,239.0,,27.2,,0.156,,,0.9515,,,,,,,,"Autoneum succeeded in reducing overall $\mathrm{CO}_{2}$ emissions by $20.5\%$ on a relative basis and by $36.9\%$ on an absolute basis compared to the baseline in 2019. These results are based on a comparison of the same plants as evaluated since 2019 without the plants acquired from Borgers Automotive. Even including the Borgers plants, the Company is still firmly on track to meet its emissions targets for 2027.",,,,"The Board of Directors of Autoneum Holding Ltd is responsible for the business strategy and the overall management of the Autoneum Group and Group companies. This includes responsibility for sustainability issues embedded in the corporate strategy. The Board of Directors delegates operational business management – including sustainability – to the CEO. The Strategy and Sustainability Committee will support and accompany the Board of Directors in all sustainability topics that concern the planet. These include sustainable processes, products, technologies, supply chain management, environmental risks and reduction of greenhouse gas emissions.",,,,Large
8,../data/processed/Auto Parts-Schaeffler Technologies-2023 Sustainability Report.txt,3125000.0,,5035.0,,,7082.0,,731000.0,0.94,,83362.0,0.045,,,8.0,,0.16,,,0.963,,,,,,,,,"The demand for electrical energy will continue to increase in the coming years. Self-generated renewable energy will therefore be expanded to complement the existing energy efficiency program at Schaeffler locations – for example, with photovoltaic (PV) systems. PV systems with a capacity of 8.0 MWp were installed in 2023, thus increasing the total PV system capacity in the Schaeffler Group to $20.2\mathsf{M W p}$ .",,,,,"The Schaeffler Group defines green products as products that are responsible for less ${\mathsf{C O}}_{2}$ emissions than their substitutes throughout the entire life cycle – i.e., production, transport, use, and disposal, or use of potential circular economy concepts. The results of the life cycle assessment are integrated into the product development process – for example, product design and material selection – in an effort to develop products with an improved carbon footprint. $\textcircled{9}$","The company plans to develop the existing Supplier Code of Conduct into a Business Partner Code of Conduct in 2024. When drafting the Business Partner Code of Conduct, the focus is on relevant human rights topics. This involves not only compliance with the respective local legal provisions but also orientation towards the above-mentioned global frameworks.",Large
9,../data/processed/Auto Parts-Continental AG-2023 Sustainability Report.txt,200.3,,15200000.0,,,103620000.0,,446776.0,0.87,,202763.0,0.06,,,,,0.273,,,,2.0,44000000.0,,,,,,"The Continental Group implemented significant refinements in the granularity and precision of data collection for several categories over the course of the reporting year. Based on the current scope of the individual categories, calculated indirect $\mathsf{C O}_{2}$ emissions along the value chain (Scope 3) amounted in fiscal 2023 to 102.73 (PY: 105.95) million metric tons of $C O_{2}$ . This equals a decrease of around $3\%$ of indirect $\mathsf{C O}_{2}$ emissions along the value chain. Major factors of changes in the different categories were primarily attributable to refined data and calculation methodology as well as volumes of products sold and purchased goods.","Our energy consumption in fiscal 2023 was 8.3 TWh (PY: 8.6 TWh), with purchased electricity and natural gas accounting for most of this. Energy consumption saw a year-on-year decrease of $3.6\%$ , which is attributable, among other things, to energy efficiency and substitution measures aimed at reducing fossil fuel consumption and, to some degree, also to a decline in production volumes. When measured in relation to group sales, this figure saw a decline of $8.3\%$ . By 2030, we plan to reduce our energy consumption by $20\%$ compared with 2018 in relation to sales. We also plan to save 1 TWh of energy by means of energy efficiency projects, which equates to roughly $10\%$ of Continental’s current annual Group-wide energy consumption. We are therefore focusing on implementing energy efficiency projects. Our employees in energy and engineering roles are working in close collaboration with one another, ensuring a continuous transfer of knowledge and enabling highly efficient technologies to be implemented in all areas. These efforts also include the regular review of fossil fuels that are being used compared with carbon-neutral alternatives.",,,"The Supervisory Board also pays attention to the diversity of its own composition. For the Supervisory Board, diversity refers to age, gender, background and professional experience, among other things. The Supervisory Board is convinced that it will achieve diversity in its composition in particular by fulfilling the profile of skills and expertise and meeting the targets for its composition.","Continental has established a comprehensive management system for ensuring its due diligence obligations, in order to identify risks in connection with defined protected rights within its supply chain and in its own business units.",The winning solution is a new method that utilizes algae and seawater as raw materials in order to modify the properties of plastic. The resulting material has the potential to replace several existing fossil-based components and packaging in the automotive industry.,"Responsible sourcing is the responsibility of the relevant purchasing organizations, which are established at Continental by group sector, product group and country, for example. A corporate purchasing network regularly deals with responsible sourcing topics as well. The Group Quality group function coordinates the management of conflict minerals, including the corresponding reporting processes. <br> We also continue to develop our approach for the responsible value chain in dialogue with external stakeholders and support the development of industry-wide standards, for example through our participation in industry dialogue with the German government on human rights in the automotive industry. Here, we have worked in particular to cultivate a shared understanding of industry risks and due diligence requirements.",Large
