,name,lseg_e,lseg_s,lseg_g,lseg_esg
0,Auto Parts-SAF-Holland,30,60,81,55
1,Auto Parts-Standard Motor Products Inc,50,60,71,59
2,Auto Parts-Adient Plc,48,51,13,40
3,Auto Parts-QuantumScape Corporation,17,46,18,24
4,Auto Parts-Heineken N.V,71,67,48,63
5,Auto Parts-Lear Corporation,58,87,65,72
6,Auto Manufacturers - Major-Mercedes-Benz Group AG,98,88,89,91
7,Auto Parts-Autoneum,67,67,38,60
8,Auto Parts-Schaeffler Technologies,84,78,45,72
9,Auto Parts-Continental AG,67,78,73,73
10,Auto Parts-Horizon Global Corporation,,,,
11,Auto Parts-Autoliv Inc,34,65,92,61
12,"Auto Parts-Rush Enterprises, Inc",43,41,28,37
13,Auto Parts-Knorr-Bremse AG,78,90,68,80
14,"Auto Parts-Dorman Products, Inc",42,69,56,56
15,Auto Parts-Johnson Controls International plc,92,93,47,80
16,Auto Manufacturers - Major-NFI Group Inc,76,88,42,71
17,Auto Manufacturers - Major-Stellantis,96,91,49,82
18,Auto Parts-American Tire Distributors,,,,
19,Auto Parts-NSK Ltd,77,52,69,65
20,Auto Parts-Delphi,,,,
21,Auto Parts-Hyliion Holdings Corp,36,19,28,28
22,Auto Manufacturers - Major-Toyota Motor Corp,89,76,53,75
23,Auto Parts-Exco Technologies Limited,9,39,26,26
24,Auto Parts-Nokian Tyres plc,63,66,69,66
25,Auto Manufacturers - Major-Mahindra & Mahindra,94,85,88,89
26,Auto Parts-Bridgestone Corporation,76,76,93,80
27,"Auto Manufacturers - Major-Nissan Motor Co., Ltd",93,61,84,78
28,Auto Manufacturers - Major-Aston Martin Lagonda Global Holdings,74,50,48,58
29,"Auto Parts-Meritor, Inc",,,,
30,Auto Parts-MANDO,58,73,75,68
31,"Auto Parts-Monro, Inc",33,45,75,54
32,Auto Manufacturers - Major-Rivian,14,44,44,34
33,Auto Parts-Dana Incorporated,54,54,43,52
34,Auto Manufacturers - Major-Centuria Capital Group,33,50,63,52
35,Auto Manufacturers - Major-Elanor Investors Group,,,,
36,Auto Parts-Kendrion N.V,58,61,35,54
37,Auto Parts-Martinrea International Inc,43,54,69,54
38,Auto Manufacturers - Major-Subaru Corporation,85,55,76,71
39,Auto Manufacturers - Major-Niu Technologies,38,57,52,49
40,Auto Parts-Garrett Motion Inc,87,77,79,87
41,Auto Manufacturers - Major-BMW AG,,,,
42,Auto Parts-Linamar Corp,63,35,34,44
43,Auto Parts-Aptiv,58,62,54,59
44,Auto Parts-Allison Transmission,57,36,37,43
45,Auto Manufacturers - Major-Electrameccanica Vehicles Corp. Ltd,,,,
46,Auto Manufacturers - Major-Ferrari N.V,68,59,36,57
47,Auto Parts-Douglas Dynamics Inc,37,39,38,38
48,Auto Parts-Semperit AG Holding,54,71,38,57
49,Auto Manufacturers - Major-NIO,54,58,23,48
50,Auto Parts-Haldex,,,,
51,Auto Parts-Goodyear Tire & Rubber Co,68,76,48,66
52,Auto Parts-PHINIA,55,47,71,56
53,Auto Parts-Gestamp,77,83,29,68
54,Auto Parts-Gentherm Inc,57,58,86,65
55,Auto Manufacturers - Major-Audi AG,,,,
56,Auto Parts-Modine Manufacturing Co,19,41,71,41
57,Auto Parts-Gentex Corporation,32,54,54,46
58,"Auto Parts-Magna International, Inc",50,58,59,56
59,Auto Parts-CIE Automotive,73,85,36,69
60,Auto Parts-Cooper-Standard Holdings Inc,48,73,79,66
