Company,Extracted_field,Sentiment
saf-holland,Disclosure on Community Engagement and Social Impact Initiatives,positive
saf-holland,Narrative on Governance Framework and Board Diversity,Positive
saf-holland,Disclosure on ESG Risk Management and Stakeholder Engagement,Positive
standard motor products inc,Disclosure on ESG Risk Management and Stakeholder Engagement,Positive
adient plc,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,positive
adient plc,Narrative on Governance Framework and Board Diversity,Positive
quantumscape corporation,Progress Updates on Emission Reduction Targets,positive
quantumscape corporation,Disclosure on Community Engagement and Social Impact Initiatives,Positive
quantumscape corporation,Narrative on Governance Framework and Board Diversity,Neutral
quantumscape corporation,Disclosure on Sustainable Supply Chain Management Practices,Positive
heineken n.v,Progress Updates on Emission Reduction Targets,positive
heineken n.v,Narrative on Governance Framework and Board Diversity,Positive
lear corporation,Narrative on Sustainability Goals and Actions,Positive
lear corporation,Progress Updates on Emission Reduction Targets,Positive
lear corporation,Narrative on Governance Framework and Board Diversity,Positive
lear corporation,Progress Updates on Emission Reduction Targets,positive
lear corporation,Narrative on Governance Framework and Board Diversity,positive
lear corporation,Disclosure on ESG Risk Management and Stakeholder Engagement,Positive
lear corporation,Narrative on Innovations in Sustainable Technologies and Product Design,Positive
lear corporation,Disclosure on Sustainable Supply Chain Management Practices,Positive
autoneum,Progress Updates on Emission Reduction Targets,Positive
autoneum,Narrative on Governance Framework and Board Diversity,Neutral
schaeffler technologies,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Positive
schaeffler technologies,Narrative on Innovations in Sustainable Technologies and Product Design,Positive
schaeffler technologies,Disclosure on Sustainable Supply Chain Management Practices,Positive
continental ag,Progress Updates on Emission Reduction Targets,Positive
continental ag,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Positive
continental ag,Narrative on Governance Framework and Board Diversity,Positive
continental ag,Disclosure on ESG Risk Management and Stakeholder Engagement,Positive
continental ag,Narrative on Innovations in Sustainable Technologies and Product Design,Positive
continental ag,Disclosure on Sustainable Supply Chain Management Practices,Positive
horizon global corporation,Narrative on Sustainability Goals and Actions,Positive
horizon global corporation,Disclosure on Community Engagement and Social Impact Initiatives,Positive
horizon global corporation,Disclosure on ESG Risk Management and Stakeholder Engagement,positive
autoliv inc,Progress Updates on Emission Reduction Targets,positive
autoliv inc,Narrative on Governance Framework and Board Diversity,Positive
"rush enterprises, inc",Narrative on Sustainability Goals and Actions,Positive
"rush enterprises, inc",Disclosure on Community Engagement and Social Impact Initiatives,Positive
"rush enterprises, inc",Narrative on Governance Framework and Board Diversity,Positive
knorr-bremse ag,Disclosure on Community Engagement and Social Impact Initiatives,Positive
knorr-bremse ag,Narrative on Governance Framework and Board Diversity,Positive
knorr-bremse ag,Disclosure on Sustainable Supply Chain Management Practices,Positive
johnson controls international plc,Progress Updates on Emission Reduction Targets,Positive
johnson controls international plc,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,neutral
johnson controls international plc,Disclosure on ESG Risk Management and Stakeholder Engagement,Positive
johnson controls international plc,Disclosure on Sustainable Supply Chain Management Practices,Positive
johnson controls international plc,Progress Updates on Emission Reduction Targets,Positive
johnson controls international plc,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Neutral
johnson controls international plc,Disclosure on Community Engagement and Social Impact Initiatives,Positive
johnson controls international plc,Disclosure on ESG Risk Management and Stakeholder Engagement,Positive
johnson controls international plc,Progress Updates on Emission Reduction Targets,Neutral
johnson controls international plc,Narrative on Governance Framework and Board Diversity,Positive
johnson controls international plc,Disclosure on ESG Risk Management and Stakeholder Engagement,Positive
american tire distributors,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Positive
nsk ltd,Progress Updates on Emission Reduction Targets,Positive
nsk ltd,Disclosure on Community Engagement and Social Impact Initiatives,positive
nsk ltd,Narrative on Governance Framework and Board Diversity,Positive
nsk ltd,Disclosure on Sustainable Supply Chain Management Practices,Positive
delphi,Narrative on Innovations in Sustainable Technologies and Product Design,Positive
delphi,Disclosure on Sustainable Supply Chain Management Practices,Positive
hyliion holdings corp,Disclosure on ESG Risk Management and Stakeholder Engagement,Positive
hyliion holdings corp,Narrative on Sustainability Goals and Actions,Positive
hyliion holdings corp,Progress Updates on Emission Reduction Targets,Positive
hyliion holdings corp,Narrative on Governance Framework and Board Diversity,positive
hyliion holdings corp,Narrative on Innovations in Sustainable Technologies and Product Design,Positive
hyliion holdings corp,Disclosure on Sustainable Supply Chain Management Practices,Positive
nokian tyres plc,Progress Updates on Emission Reduction Targets,Positive
nokian tyres plc,Disclosure on Community Engagement and Social Impact Initiatives,Positive
nokian tyres plc,Narrative on Governance Framework and Board Diversity,Positive
nokian tyres plc,Disclosure on Sustainable Supply Chain Management Practices,Positive
nokian tyres plc,Progress Updates on Emission Reduction Targets,positive
nokian tyres plc,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,positive
nokian tyres plc,Disclosure on Community Engagement and Social Impact Initiatives,Positive
nokian tyres plc,Narrative on Governance Framework and Board Diversity,Positive
nokian tyres plc,Disclosure on ESG Risk Management and Stakeholder Engagement,positive
nokian tyres plc,Narrative on Innovations in Sustainable Technologies and Product Design,Positive
nokian tyres plc,Disclosure on Sustainable Supply Chain Management Practices,Positive
bridgestone corporation,Progress Updates on Emission Reduction Targets,Positive
bridgestone corporation,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Positive
bridgestone corporation,Disclosure on Sustainable Supply Chain Management Practices,Positive
bridgestone corporation,Narrative on Governance Framework and Board Diversity,Positive
bridgestone corporation,Disclosure on ESG Risk Management and Stakeholder Engagement,positive
bridgestone corporation,Narrative on Innovations in Sustainable Technologies and Product Design,positive
bridgestone corporation,Disclosure on Sustainable Supply Chain Management Practices,Positive
bridgestone corporation,Progress Updates on Emission Reduction Targets,positive
bridgestone corporation,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Positive
bridgestone corporation,Narrative on Governance Framework and Board Diversity,Positive
bridgestone corporation,Disclosure on ESG Risk Management and Stakeholder Engagement,positive
